ID             top(m)  bottom(m)  center(m)        age    del_18O      del_D      d-excess 
C19-027       1913.00    1913.50    1913.25     153.19     -59.37    -461.52      13.44
C19-030       1914.50    1915.00    1914.75     153.57     -59.29    -462.88      11.44
C19-032       1915.50    1916.00    1915.75     153.81     -59.08    -460.22      12.42
BC19-035      1917.00    1917.49    1917.25     154.17     -59.26    -461.85      12.26
C19-037       1918.00    1918.50    1918.25     154.41     -59.60    -463.74      13.06
C19-040       1919.50    1920.00    1919.75     154.79     -59.70    -465.37      12.23
C19-042       1920.50    1921.00    1920.75     155.06     -60.02    -465.64      14.52
C19-045       1922.00    1922.50    1922.25     155.46     -59.72    -464.01      13.75
C19-047       1923.00    1923.50    1923.25     155.72     -59.40    -462.43      12.77
C19-050       1924.50    1925.00    1924.75     156.13     -60.34    -468.90      13.82
C19-051       1925.00    1925.50    1925.25     156.26     -59.42    -463.25      12.12
C19-055       1927.00    1927.50    1927.25     156.80     -59.35    -462.57      12.23
C19-057       1928.00    1928.50    1928.25     157.06     -59.72    -464.35      13.41
C19-060       1929.50    1930.00    1929.75     157.45     -59.79    -465.80      12.52
C19-062       1930.50    1931.00    1930.75     157.71     -59.07    -459.07      13.49
C19-065       1931.99    1932.50    1932.24     158.09     -59.96    -465.42      14.26
C19-067       1933.00    1933.50    1933.25     158.36     -59.00    -460.29      11.71
C19-070       1934.50    1935.00    1934.75     158.76     -59.79    -465.52      12.80
C19-072       1935.50    1936.00    1935.75     159.02     -59.41    -462.56      12.72
C19-075       1937.00    1937.50    1937.25     159.38     -58.06    -449.30      15.19
C19-077       1938.00    1938.50    1938.25     159.62     -57.82    -451.25      11.31
C19-080       1939.50    1940.00    1939.75     159.96     -58.59    -455.89      12.83
C19-082       1940.50    1941.00    1940.75     160.19     -58.50    -454.72      13.28
C19-085       1942.00    1942.50    1942.25     160.55     -59.65    -462.00      15.20
C19-087       1943.00    1943.50    1943.25     160.78     -58.19    -453.68      11.84
C19-090       1944.50    1945.00    1944.75     161.14     -58.86    -457.91      12.97
C19-092       1945.50    1946.00    1945.75     161.39     -59.24    -458.73      15.19
C19-095       1947.00    1947.50    1947.25     161.76     -58.90    -458.75      12.45
C19-097       1948.00    1948.50    1948.25     162.01     -59.73    -463.54      14.30
C19-100       1949.50    1950.00    1949.75     162.39     -59.14    -459.43      13.69
C19-101       1950.00    1950.50    1950.25     162.51     -58.41    -454.25      13.03
C19-105       1952.00    1952.50    1952.25     162.98     -58.11    -450.86      14.02
C19-107       1953.00    1953.52    1953.26     163.19     -57.54    -448.58      11.74
C19-110       1954.50    1955.00    1954.75     163.51     -58.57    -456.49      12.07
C19-112       1955.50    1956.00    1955.75     163.74     -58.48    -454.66      13.18
C19-115       1957.00    1957.50    1957.25     164.10     -58.43    -454.18      13.26
C19-117       1958.00    1958.50    1958.25     164.34     -57.64    -449.33      11.80
C19-120       1959.50    1960.00    1959.75     164.67     -58.69    -459.40      10.12
C19-121       1960.00    1960.50    1960.25     164.77     -58.86    -458.63      12.25
C19-125       1962.00    1962.50    1962.25     165.20     -59.20    -460.09      13.52
C19-127       1963.00    1963.50    1963.25     165.43     -59.57    -462.32      14.24
C19-130       1964.50    1965.00    1964.75     165.77     -59.22    -461.03      12.73
C19-133       1966.00    1966.50    1966.25     166.09     -59.71    -464.60      13.08
C19-136       1967.50    1968.00    1967.75     166.41     -58.96    -458.96      12.72
C19-140       1969.50    1970.00    1969.75     166.85     -58.50    -455.18      12.82
C19-143       1971.00    1971.50    1971.25     167.18     -58.92    -458.02      13.35
C19-146       1972.50    1973.00    1972.75     167.51     -58.73    -456.41      13.43
C19-150       1974.51    1975.00    1974.76     167.95     -58.07    -451.36      13.20
C19-154       1976.50    1977.00    1976.75     168.36     -57.96    -451.43      12.26
C19-157       1978.00    1978.50    1978.25     168.67     -58.32    -452.69      13.87
C19-160       1979.50    1980.00    1979.75     168.97     -57.52    -447.51      12.65
C19-163       1981.00    1981.50    1981.25     169.27     -58.02    -452.14      12.02
C19-167       1983.00    1983.50    1983.25     169.67     -58.65    -456.24      12.96
C19-170       1984.50    1985.00    1984.75     169.98     -57.97    -450.69      13.07
C19-177       1988.00    1988.50    1988.25     170.71     -57.49    -449.00      10.93
C19-180       1989.50    1990.00    1989.75     171.03     -58.00    -452.35      11.65
C19-183       1991.00    1991.50    1991.25     171.36     -58.76    -457.45      12.63
C19-187       1993.00    1993.50    1993.25     171.80     -58.39    -453.39      13.73
C19-190       1994.50    1995.00    1994.75     172.14     -58.52    -454.82      13.34
C19-194       1996.50    1997.00    1996.75     172.57     -57.79    -449.68      12.65
C19-197       1998.00    1998.50    1998.25     172.87     -58.00    -451.53      12.47
C19-200       1999.50    2000.00    1999.75     173.16     -57.76    -451.12      10.96
C20-003a      2001.00    2001.25    2001.13     173.45     -57.16    -445.80      11.48
C20-007a      2003.00    2003.25    2003.13     173.84     -57.31    -447.34      11.14
BC20-010b     2004.75    2005.00    2004.88     174.20     -58.18    -452.38      13.04
C20-018a      2008.52    2008.75    2008.64     174.98     -58.97    -458.29      13.47
C20-020b      2009.75    2010.00    2009.88     175.26     -59.12    -460.57      12.39
C20-024a      2011.50    2011.75    2011.63     175.65     -58.14    -452.18      12.94
C20-028a      2013.50    2013.75    2013.63     176.06     -58.73    -456.87      12.97
C20-030b      2014.76    2015.00    2014.88     176.31     -58.31    -454.43      12.05
C20-034a      2016.50    2016.75    2016.63     176.72     -58.64    -455.92      13.20
C20-038A      2018.50    2018.75    2018.63     177.25     -58.70    -455.24      14.36
C20-040b      2019.75    2020.00    2019.88     177.57     -58.50    -453.76      14.24
C20-044a      2021.50    2021.75    2021.63     178.00     -58.17    -450.23      15.13
C20-048a      2023.50    2023.75    2023.63     178.48     -57.90    -449.02      14.18
C20-050b      2024.76    2025.01    2024.89     178.78     -58.86    -456.30      14.58
C20-054a      2026.50    2026.75    2026.63     179.21     -57.56    -447.14      13.34
C20-058A      2028.50    2028.75    2028.63     179.68     -58.04    -450.84      13.48
C20-060b      2029.75    2030.00    2029.88     179.97     -57.80    -449.70      12.70
C20-064a      2031.50    2031.75    2031.63     180.40     -57.56    -446.87      13.61
C20-068a      2033.50    2033.75    2033.63     180.94     -59.84    -462.03      16.69
C20-070b      2034.75    2035.00    2034.88     181.31     -59.70    -462.70      14.90
C20-074a      2036.50    2036.75    2036.63     181.82     -58.94    -457.06      14.46
C20-078a      2038.50    2038.75    2038.63     182.40     -59.69    -463.50      14.02
C20-080b      2039.75    2040.00    2039.88     182.75     -58.83    -458.37      12.27
C20-084a      2041.50    2041.75    2041.63     183.26     -59.16    -459.92      13.36
C20-088a      2043.50    2043.75    2043.63     183.85     -60.11    -465.23      15.65
C20-090b      2044.75    2045.00    2044.88     184.22     -59.71    -462.11      15.57
C20-094a      2046.50    2046.75    2046.63     184.74     -60.60    -467.53      17.27
C20-098A      2048.50    2048.75    2048.63     185.34     -58.95    -455.40      16.20
C20-100b      2049.75    2050.00    2049.88     185.72     -59.39    -460.12      15.00
C20-104a      2051.50    2051.75    2051.63     186.25     -59.40    -460.64      14.57
C20-108a      2053.50    2053.75    2053.63     186.78     -59.34    -459.19      15.53
C20-110b      2054.75    2055.00    2054.88     187.09     -60.10    -464.37      16.43
C20-114a      2056.48    2056.75    2056.62     187.50     -59.95    -462.76      16.85
C20-118a      2058.50    2058.75    2058.63     187.97     -58.65    -454.58      14.62
C20-120b      2059.75    2060.00    2059.88     188.27     -58.97    -455.96      15.80
C20-124a      2061.50    2061.75    2061.63     188.66     -58.26    -450.26      15.82
C20-128a      2063.50    2063.75    2063.63     189.10     -58.76    -453.36      16.72
C20-130b      2064.75    2065.00    2064.88     189.37     -58.23    -449.30      16.54
C20-134a      2066.50    2066.75    2066.63     189.74     -56.79    -437.81      16.52
C20-140b      2069.78    2070.00    2069.89     190.42     -59.34    -458.28      16.44
C20-144a      2071.50    2071.75    2071.63     190.80     -57.95    -447.84      15.76
C20-148A      2073.50    2073.75    2073.63     191.23     -59.12    -456.52      16.44
C20-150b      2074.77    2075.00    2074.88     191.50     -58.35    -452.60      14.20
C20-154a      2076.50    2076.75    2076.63     191.87     -58.14    -449.05      16.07
C20-158a      2078.50    2078.75    2078.63     192.32     -59.35    -458.56      16.24
C20-160b      2079.75    2080.00    2079.88     192.62     -58.58    -454.72      13.92
C20-164a      2081.50    2081.75    2081.63     193.02     -58.53    -452.67      15.57
C20-168a      2083.50    2083.75    2083.63     193.45     -57.71    -444.76      16.93
C20-170b      2084.77    2085.00    2084.89     193.70     -57.69    -445.17      16.35
C20-174a      2086.50    2086.75    2086.63     194.06     -57.78    -443.94      18.30
C20-178A      2088.50    2088.75    2088.63     194.48     -57.77    -446.33      15.84
C20-180b      2089.75    2090.00    2089.88     194.75     -58.42    -451.57      15.79
C20-184a      2091.50    2091.75    2091.63     195.13     -58.13    -449.20      15.84
C20-188a      2093.50    2093.75    2093.63     195.55     -58.35    -449.94      16.87
C20-190b      2094.75    2095.00    2094.88     195.80     -58.05    -447.60      16.80
C20-194a      2096.50    2096.75    2096.63     196.16     -56.79    -438.71      15.61
C20-198a      2098.50    2098.75    2098.63     196.55     -57.68    -444.82      16.62
C20-200b      2099.75    2100.00    2099.88     196.78     -56.47    -436.50      15.26
C21-003a      2101.00    2101.25    2101.13     197.01     -56.19    -434.47      15.05
C21-005B      2102.25    2102.50    2102.38     197.23     -56.99    -440.97      14.95
C21-010b      2104.75    2105.00    2104.88     197.73     -55.73    -431.53      14.31
C21-015B      2107.25    2107.50    2107.38     198.24     -56.03    -430.17      18.07
C21-018a      2108.50    2108.75    2108.63     198.49     -56.16    -434.59      14.69
C21-020b      2109.75    2110.00    2109.88     198.74     -55.46    -428.93      14.75
C21-023a      2111.00    2111.25    2111.13     199.00     -56.03    -434.02      14.22
C21-028a      2113.50    2113.72    2113.61     199.49     -54.76    -423.46      14.62
C21-030b      2114.73    2114.98    2114.86     199.73     -55.39    -428.21      14.91
C21-033a      2116.00    2116.25    2116.13     199.98     -54.01    -418.42      13.66
C21-038a      2118.50    2118.75    2118.63     200.47     -55.17    -427.63      13.73
C21-040b      2119.75    2120.00    2119.88     200.70     -55.34    -428.38      14.34
BC21-043a     2121.00    2121.25    2121.13     200.94     -54.93    -425.47      13.99
C21-048a      2123.50    2123.75    2123.63     201.43     -56.64    -438.67      14.45
C21-050b      2124.75    2125.00    2124.88     201.70     -55.84    -431.66      15.06
C21-053a      2126.00    2126.25    2126.13     201.97     -56.59    -438.23      14.49
C21-058a      2128.50    2128.75    2128.63     202.53     -56.74    -438.17      15.75
C21-060b      2129.72    2130.00    2129.86     202.79     -56.66    -438.26      15.02
C21-063a      2131.00    2131.25    2131.13     203.08     -56.38    -436.91      14.13
C21-068a      2133.50    2133.75    2133.63     203.66     -57.62    -445.99      14.97
C21-070b      2134.75    2135.00    2134.88     203.97     -57.74    -447.58      14.34
C21-073A      2136.00    2136.25    2136.13     204.29     -57.85    -447.73      15.07
C21-078a      2138.50    2138.75    2138.63     204.95     -57.54    -446.12      14.20
C21-080b      2139.75    2140.00    2139.88     205.28     -58.26    -450.78      15.30
C21-083a      2141.00    2141.25    2141.13     205.61     -57.07    -441.22      15.34
C21-088a      2143.50    2143.75    2143.63     206.26     -57.90    -447.31      15.89
C21-090b      2144.75    2145.00    2144.88     206.57     -57.43    -445.07      14.37
C21-095B      2147.25    2147.50    2147.38     207.19     -56.73    -439.20      14.64
C21-098a      2148.50    2148.75    2148.63     207.49     -56.89    -440.33      14.79
C21-100b      2149.75    2150.00    2149.88     207.80     -57.80    -448.35      14.05
C21-103a      2151.00    2151.25    2151.13     208.11     -56.26    -436.62      13.46
C21-108a      2153.50    2153.75    2153.63     208.72     -56.14    -434.49      14.63
C21-110b      2154.75    2155.00    2154.88     209.04     -57.01    -442.34      13.74
C21-115B      2157.25    2157.50    2157.38     209.69     -57.07    -441.63      14.93
C21-118a      2158.50    2158.75    2158.63     210.05     -56.27    -435.62      14.54
C21-120b      2159.75    2160.00    2159.88     210.40     -56.65    -439.14      14.06
C21-123a      2161.00    2161.25    2161.13     210.76     -56.61    -438.46      14.42
C21-128a      2163.50    2163.75    2163.63     211.43     -56.08    -434.32      14.32
C21-130b      2164.75    2165.00    2164.88     211.75     -55.38    -429.61      13.43
C21-133a      2166.00    2166.25    2166.13     212.07     -55.57    -431.15      13.42
C21-138a      2168.50    2168.75    2168.63     212.70     -56.14    -436.01      13.11
C21-140b      2169.75    2170.00    2169.88     213.01     -55.61    -432.42      12.46
C21-143a      2171.00    2171.25    2171.13     213.32     -54.38    -421.43      13.61
C21-148a      2173.50    2173.75    2173.63     213.93     -55.48    -430.11      13.73
C21-150b      2174.75    2175.00    2174.88     214.24     -56.03    -435.29      12.95
C21-153a      2176.00    2176.25    2176.13     214.55     -54.80    -424.71      13.69
C21-158A      2178.50    2178.75    2178.63     215.17     -54.27    -421.09      13.07
C21-160b      2179.76    2180.01    2179.89     215.48     -55.30    -428.65      13.75
C21-163a      2181.00    2181.25    2181.13     215.79     -55.19    -428.74      12.78
B21-169a      2184.00    2184.25    2184.13     216.55     -55.13    -428.13      12.91
C21-170b      2184.75    2185.00    2184.88     216.74     -54.80    -425.79      12.61
BC21-173a     2186.00    2186.25    2186.13     217.05     -55.50    -430.40      13.58
C21-178a      2188.50    2188.75    2188.63     217.65     -53.95    -418.76      12.85
C21-180b      2189.75    2190.00    2189.88     217.94     -54.56    -423.14      13.34
C21-185a      2192.00    2192.25    2192.13     218.48     -55.46    -429.81      13.87
C21-190b      2194.75    2195.00    2194.88     219.15     -55.65    -433.38      11.82
C21-193a      2196.00    2196.25    2196.13     219.49     -55.27    -428.80      13.36
C21-198a      2198.50    2198.73    2198.62     220.17     -55.87    -433.98      12.98
C21-200b      2199.75    2200.00    2199.88     220.52     -56.25    -436.94      13.06
C22-003A      2201.00    2201.25    2201.13     220.90     -56.24    -438.18      11.74
C22-008a      2203.50    2203.75    2203.63     221.60     -56.81    -440.74      13.74
C22-010b      2204.75    2205.00    2204.88     221.92     -56.66    -440.36      12.92
C22-012a      2205.50    2205.78    2205.64     222.11     -56.57    -438.54      14.02
C22-014a      2206.50    2206.77    2206.63     222.38     -56.08    -435.20      13.44
C22-015a      2207.00    2207.25    2207.13     222.52     -57.21    -444.96      12.72
C22-016a      2207.50    2207.75    2207.63     222.66     -57.09    -445.50      11.22
C22-019a      2209.00    2209.25    2209.13     223.07     -57.22    -443.01      14.75
C22-020b      2209.78    2210.00    2209.89     223.30     -57.90    -449.69      13.51
C22-022A      2210.50    2210.75    2210.63     223.52     -57.83    -449.53      13.11
C22-024a      2211.50    2211.75    2211.63     223.83     -57.61    -447.44      13.44
C22-025a      2212.00    2212.25    2212.13     223.98     -58.04    -452.18      12.14
C22-026a      2212.50    2212.75    2212.63     224.14     -57.74    -450.12      11.80
C22-029a      2214.00    2214.25    2214.13     224.62     -57.85    -447.93      14.87
C22-030b      2214.75    2215.00    2214.88     224.87     -58.63    -455.40      13.64
C22-032a      2215.50    2215.75    2215.63     225.11     -57.75    -448.66      13.34
C22-034a      2216.50    2216.75    2216.63     225.45     -58.57    -455.26      13.30
C22-035a      2217.00    2217.25    2217.13     225.62     -59.55    -461.83      14.57
C22-036a      2217.50    2217.75    2217.63     225.79     -59.34    -459.87      14.85
C22-039a      2219.00    2219.25    2219.13     226.31     -59.13    -458.12      14.92
C22-040b      2219.75    2220.00    2219.88     226.57     -59.29    -461.50      12.82
C22-042a      2220.50    2220.75    2220.63     226.83     -59.44    -459.89      15.63
C22-044a      2221.50    2221.75    2221.63     227.20     -58.68    -455.04      14.40
C22-045a      2222.00    2222.25    2222.13     227.37     -59.06    -456.88      15.60
C22-046a      2222.50    2222.75    2222.63     227.54     -58.80    -453.88      16.52
C22-049a      2224.00    2224.25    2224.13     228.02     -58.05    -450.41      13.99
C22-050b      2224.75    2225.00    2224.88     228.27     -58.96    -455.28      16.40
BC22-052b     2225.70    2226.00    2225.85     228.57     -57.31    -442.88      15.59
C22-054a      2226.50    2226.75    2226.63     228.82     -57.77    -447.39      14.77
C22-055a      2227.00    2227.25    2227.13     228.96     -57.33    -444.41      14.23
C22-056a      2227.50    2227.75    2227.63     229.12     -58.00    -450.03      13.97
C22-059a      2229.00    2229.25    2229.13     229.60     -58.47    -453.94      13.83
C22-060b      2229.75    2230.00    2229.88     229.86     -59.03    -457.02      15.22
C22-062a      2230.50    2230.75    2230.63     230.12     -58.57    -454.03      14.53
C22-064a      2231.50    2231.75    2231.63     230.48     -60.20    -466.12      15.48
C22-065a      2232.00    2232.25    2232.13     230.67     -60.12    -464.33      16.63
C22-066a      2232.50    2232.75    2232.63     230.85     -58.81    -456.47      14.02
C22-069a      2234.00    2234.25    2234.13     231.36     -59.08    -458.35      14.29
C22-070b      2234.77    2235.00    2234.88     231.61     -58.99    -455.99      15.93
C22-072a      2235.50    2235.75    2235.63     231.84     -57.89    -449.90      13.22
C22-074a      2236.50    2236.75    2236.63     232.15     -58.62    -454.18      14.78
C22-075a      2237.00    2237.25    2237.13     232.30     -59.21    -458.25      15.43
C22-076a      2237.50    2237.75    2237.63     232.47     -59.45    -460.27      15.33
C22-078a      2238.50    2238.75    2238.63     232.80     -59.22    -456.40      17.36
C22-080b      2239.75    2240.00    2239.88     233.20     -59.36    -459.43      15.45
C22-082a      2240.50    2240.75    2240.63     233.44     -59.20    -456.48      17.12
C22-084a      2241.50    2241.75    2241.63     233.77     -58.33    -452.83      13.81
C22-085a      2242.00    2242.25    2242.13     233.93     -58.77    -454.11      16.05
C22-086a      2242.50    2242.75    2242.63     234.09     -58.04    -449.58      14.74
C22-089a      2244.00    2244.27    2244.13     234.55     -58.42    -453.61      13.75
C22-090b      2244.75    2245.00    2244.88     234.78     -59.04    -455.56      16.76
C22-092a      2245.50    2245.75    2245.63     235.02     -58.22    -451.70      14.06
C22-094a      2246.50    2246.75    2246.63     235.32     -58.26    -450.42      15.66
C22-095a      2247.00    2247.25    2247.13     235.47     -58.44    -451.06      16.46
C22-097a      2248.00    2248.25    2248.13     235.77     -58.33    -450.73      15.91
C22-099a      2249.00    2249.25    2249.13     236.06     -58.03    -447.95      16.29
C22-100b      2249.75    2250.00    2249.88     236.28     -57.93    -447.31      16.13
C22-102a      2250.50    2250.75    2250.63     236.49     -57.85    -444.49      18.31
C22-105a      2251.90    2252.15    2252.03     236.87     -56.84    -439.00      15.72
C22-108a      2253.40    2253.65    2253.53     237.27     -57.10    -440.83      15.97
C22-109a      2253.90    2254.15    2254.03     237.39     -56.68    -437.69      15.75
C22-110a      2254.40    2254.65    2254.53     237.52     -57.06    -441.62      14.86
C22-112a      2255.40    2255.65    2255.53     237.78     -57.52    -444.16      16.00
C22-114a      2256.40    2256.65    2256.53     238.03     -56.08    -433.65      14.99
C22-115a      2256.90    2257.15    2257.03     238.15     -56.22    -435.23      14.53
C22-116a      2257.40    2257.65    2257.53     238.28     -56.36    -435.27      15.61
C22-117a      2257.90    2258.15    2258.03     238.40     -55.99    -433.45      14.47
C22-118a      2258.40    2258.65    2258.53     238.53     -56.46    -436.75      14.93
C22-120a      2259.40    2259.70    2259.55     238.78     -55.97    -433.50      14.26
C22-122a      2260.40    2260.65    2260.53     239.02     -55.99    -434.05      13.87
C22-123A      2260.85    2261.10    2260.98     239.12     -56.10    -433.70      15.10
C22-124a      2261.35    2261.60    2261.48     239.24     -55.92    -433.39      13.97
C22-126a      2262.35    2262.60    2262.48     239.47     -56.16    -435.54      13.74
C22-129a      2265.23    2265.48    2265.36     240.16     -56.04    -434.58      13.75
C22-130a      2265.73    2265.98    2265.86     240.28     -55.93    -433.70      13.74
C22-131a      2266.23    2266.48    2266.36     240.39     -55.37    -427.91      15.05
C22-132a      2266.74    2266.98    2266.86     240.51     -55.35    -428.14      14.67
C22-134a      2267.73    2268.03    2267.88     240.75     -55.38    -428.35      14.69
C22-136a      2268.73    2268.98    2268.86     241.01     -54.99    -423.41      16.51
C22-137A      2269.23    2269.48    2269.36     241.13     -54.95    -426.50      13.10
C22-138a      2269.73    2269.98    2269.86     241.26     -55.16    -430.51      10.77
C22-139a      2270.22    2270.45    2270.33     241.38     -54.77    -425.77      12.39
C22-140a      2270.72    2270.98    2270.85     241.50     -55.08    -425.50      15.14
C22-142a      2271.72    2271.97    2271.85     241.73     -54.38    -421.36      13.68
C22-144a      2272.72    2272.97    2272.85     241.96     -53.88    -416.94      14.10
C22-146a      2273.72    2273.97    2273.85     242.19     -53.85    -418.22      12.58
C22-148a      2274.71    2274.97    2274.84     242.40     -53.40    -413.58      13.62
C22-149a      2275.22    2275.47    2275.35     242.51     -52.32    -405.89      12.67
C22-150a      2275.72    2275.97    2275.85     242.62     -52.75    -410.74      11.26
C22-152a      2276.72    2276.97    2276.85     242.82     -52.82    -410.01      12.55
C22-153a      2277.22    2277.47    2277.35     242.92     -51.96    -403.70      11.98
C22-154a      2277.72    2277.97    2277.85     243.02     -51.79    -401.98      12.34
C22-156a      2278.71    2278.96    2278.83     243.21     -52.66    -407.73      13.56
C22-158a      2279.71    2279.96    2279.84     243.40     -52.11    -405.74      11.14
C22-160a      2280.71    2280.96    2280.84     243.61     -52.35    -407.00      11.80
C22-162a      2281.71    2281.97    2281.84     243.81     -53.17    -411.77      13.59
BC22-166a     2283.72    2283.93    2283.83     244.26     -52.86    -412.07      10.80
C22-168a      2284.74    2284.99    2284.87     244.49     -54.02    -420.71      11.45
C22-170a      2285.75    2286.00    2285.88     244.74     -54.84    -426.74      11.98
C22-173a      2287.22    2287.47    2287.35     245.13     -55.01    -428.20      11.88
C22-176a      2288.73    2288.99    2288.86     245.54     -55.72    -433.21      12.55
C22-178a      2289.73    2289.98    2289.86     245.83     -56.40    -438.57      12.63
C22-182a      2291.73    2291.98    2291.86     246.45     -57.31    -446.76      11.72
C22-184a      2292.69    2292.94    2292.82     246.75     -57.23    -447.08      10.76
C22-186a      2293.69    2293.94    2293.82     247.10     -57.84    -449.53      13.19
C22-190a      2295.66    2295.90    2295.78     247.81     -57.89    -450.31      12.81
C22-192a      2296.66    2296.91    2296.79     248.16     -56.97    -442.47      13.29
C22-194a      2297.66    2297.91    2297.79     248.50     -56.74    -441.64      12.28
C23-002a      2300.66    2300.91    2300.79     249.54     -58.10    -452.75      12.05
C23-005a      2302.13    2302.38    2302.25     250.09     -58.68    -456.74      12.70
C23-010a      2304.60    2304.83    2304.72     251.01     -57.93    -451.82      11.62
C23-012a      2305.60    2305.85    2305.73     251.39     -58.59    -455.05      13.67
C23-015A      2307.10    2307.35    2307.23     251.98     -58.31    -454.35      12.13
C23-018a      2308.63    2308.88    2308.76     252.58     -59.12    -460.10      12.86
C23-020a      2309.64    2309.89    2309.77     252.99     -58.55    -456.90      11.50
C23-022a      2310.67    2310.92    2310.80     253.41     -58.76    -454.93      15.15
C23-024a      2311.66    2311.91    2311.79     253.83     -58.99    -459.37      12.56
C23-026a      2312.66    2312.91    2312.79     254.27     -58.61    -456.38      12.50
C23-027a      2313.15    2313.40    2313.27     254.48     -58.55    -455.33      13.07
C23-028a      2313.64    2313.89    2313.77     254.69     -59.10    -459.49      13.31
C23-030a      2314.64    2314.89    2314.77     255.11     -58.38    -454.71      12.33
C23-032a      2315.64    2315.89    2315.77     255.53     -58.84    -456.09      14.63
C23-033a      2316.12    2316.38    2316.25     255.73     -58.05    -451.16      13.24
C23-034a      2316.63    2316.88    2316.76     255.95     -58.81    -456.56      13.92
C23-035A      2317.13    2317.38    2317.25     256.15     -58.07    -450.80      13.76
C23-038a      2318.63    2318.88    2318.76     256.76     -58.02    -452.36      11.80
C23-040a      2319.63    2319.88    2319.76     257.17     -58.21    -451.72      13.96
C23-041a      2320.13    2320.38    2320.26     257.37     -58.16    -452.40      12.88
C23-042a      2320.63    2320.88    2320.76     257.57     -57.57    -448.34      12.22
C23-043a      2321.13    2321.38    2321.26     257.76     -57.85    -449.81      13.00
C23-044a      2321.63    2321.88    2321.76     257.95     -58.40    -451.74      15.46
C23-046a      2322.63    2322.88    2322.76     258.34     -58.68    -456.06      13.38
C23-048a      2323.63    2323.88    2323.76     258.75     -58.13    -450.08      14.96
C23-049a      2324.13    2324.38    2324.26     258.96     -58.53    -455.62      12.62
C23-050a      2324.63    2324.88    2324.76     259.16     -59.22    -460.84      12.92
C23-051a      2325.13    2325.38    2325.26     259.37     -58.36    -454.07      12.81
C23-052a      2325.63    2325.88    2325.76     259.57     -58.42    -452.31      15.05
C23-054a      2326.63    2326.88    2326.76     259.98     -58.39    -454.34      12.78
C23-055a      2327.13    2327.37    2327.25     260.18     -57.99    -452.27      11.65
C23-056a      2327.63    2327.87    2327.75     260.39     -58.84    -457.82      12.90
C23-058A      2328.57    2328.82    2328.70     260.79     -58.36    -453.42      13.46
BC23-059a     2329.07    2329.32    2329.20     261.00     -58.04    -451.25      13.07
C23-060a      2329.57    2329.82    2329.70     261.21     -58.43    -454.48      12.96
C23-061a      2330.07    2330.32    2330.20     261.43     -59.03    -458.76      13.49
C23-062a      2330.59    2330.84    2330.71     261.65     -58.26    -453.44      12.64
C23-064a      2331.62    2331.86    2331.74     262.07     -57.62    -448.05      12.91
C23-066a      2332.60    2332.85    2332.73     262.45     -58.19    -452.61      12.91
C23-067a      2333.10    2333.35    2333.23     262.65     -57.87    -450.60      12.36
C23-068a      2333.60    2333.85    2333.73     262.85     -57.85    -450.18      12.62
C23-069a      2334.10    2334.35    2334.23     263.05     -58.35    -452.23      14.58
C23-070a      2334.60    2334.85    2334.73     263.25     -58.69    -455.83      13.69
C23-072a      2335.58    2335.83    2335.71     263.66     -58.52    -455.27      12.89
C23-074A      2336.55    2336.80    2336.68     264.07     -58.14    -452.43      12.69
C23-075a      2337.05    2337.30    2337.18     264.29     -58.47    -455.16      12.60
C23-076a      2337.55    2337.80    2337.68     264.50     -58.71    -456.96      12.72
C23-077a      2338.05    2338.25    2338.15     264.72     -58.16    -453.85      11.43
C23-078a      2338.55    2338.82    2338.68     264.94     -58.91    -457.36      13.92
C23-080a      2339.55    2339.80    2339.68     265.39     -58.75    -457.78      12.22
C23-082a      2340.57    2340.82    2340.70     265.85     -59.60    -461.62      15.18
C23-083a      2341.09    2341.34    2341.22     266.09     -58.91    -458.20      13.08
C23-084a      2341.60    2341.85    2341.73     266.33     -58.97    -458.82      12.94
C23-085a      2342.11    2342.37    2342.24     266.57     -58.77    -457.11      13.05
C23-086a      2342.62    2342.87    2342.75     266.81     -59.61    -460.47      16.41
C23-088a      2343.64    2343.86    2343.75     267.29     -59.20    -460.96      12.64
C23-090a      2344.65    2344.90    2344.78     267.78     -59.48    -461.20      14.64
C23-091A      2345.15    2345.40    2345.28     268.03     -59.07    -459.01      13.55
C23-092a      2345.65    2345.90    2345.78     268.32     -59.10    -461.58      11.22
C23-093a      2346.15    2346.40    2346.28     268.61     -59.68    -464.02      13.42
C23-094a      2346.65    2346.90    2346.78     268.90     -59.85    -463.81      14.99
C23-096a      2347.65    2347.90    2347.78     269.49     -59.86    -465.86      13.02
C23-098a      2348.65    2348.90    2348.78     270.10     -60.21    -465.75      15.93
C23-099a      2349.15    2349.40    2349.28     270.41     -59.79    -463.95      14.37
C23-100a      2349.65    2349.90    2349.78     270.73     -59.83    -464.38      14.26
C23-101a      2350.15    2350.44    2350.29     271.04     -59.40    -462.12      13.08
C23-102a      2350.65    2350.90    2350.78     271.34     -60.24    -465.21      16.71
C23-104a      2351.65    2351.95    2351.80     271.96     -59.77    -464.89      13.27
C23-106a      2352.63    2352.88    2352.76     272.57     -59.85    -463.56      15.24
C23-107A      2353.13    2353.38    2353.26     272.89     -59.94    -464.46      15.06
C23-108a      2353.63    2353.88    2353.76     273.20     -59.22    -461.12      12.64
C23-109a      2354.13    2354.38    2354.26     273.52     -59.46    -459.71      15.97
