ID             top(m)  bottom(m)  center(m)        age    del_18O      del_D      d-excess 
C05-036        517.76     518.18     517.97      20.39     -59.79    -464.05      14.28
C05-041        520.15     520.67     520.41      20.56     -60.09    -466.95      13.77
C05-047        523.25     523.79     523.52      20.79     -60.29    -468.40      13.93
B05-050        524.75     525.25     525.00      20.90     -59.97    -466.68      13.11
C05-051        525.25     525.75     525.50      20.94     -59.11    -460.25      12.63
C05-056        527.75     528.25     528.00      21.12     -59.78    -464.09      14.15
C05-060        529.75     530.25     530.00      21.27     -60.28    -468.45      13.79
C05-064        531.75     532.25     532.00      21.42     -60.01    -465.19      14.89
C05-078        538.25     538.75     538.50      21.89     -59.71    -463.31      14.37
C05-085        541.75     542.25     542.00      22.15     -60.15    -467.57      13.63
C05-090        543.77     544.30     544.03      22.30     -60.31    -467.32      15.16
B05-097        547.25     547.70     547.48      22.56     -60.25    -469.07      12.91
C05-100        548.65     549.15     548.90      22.67     -60.38    -469.53      13.52
C05-105        550.96     551.46     551.21      22.84     -59.13    -459.55      13.49
C05-110        553.46     553.96     553.71      23.02     -59.38    -460.86      14.18
B05-118        557.50     558.03     557.77      23.30     -59.21    -460.94      12.70
C05-120        558.53     559.05     558.79      23.37     -59.20    -461.31      12.29
C05-125        561.00     561.50     561.25      23.55     -59.18    -462.05      11.39
C05-130        563.56     564.09     563.83      23.73     -59.21    -458.61      15.07
C05-140        568.23     568.73     568.48      24.06     -59.97    -466.31      13.45
B05-143        569.75     570.26     570.01      24.18     -60.21    -469.13      12.51
C05-145        570.78     571.32     571.05      24.26     -59.77    -466.29      11.87
C05-150        573.44     573.97     573.71      24.46     -59.50    -464.29      11.71
C05-160        578.48     579.00     578.74      24.85     -59.72    -464.14      13.62
C05-165        581.12     581.60     581.36      25.06     -59.57    -465.28      11.28
C05-170        583.70     584.10     583.90      25.26     -59.89    -464.76      14.36
C05-180        588.71     589.24     588.98      25.65     -60.53    -468.19      16.05
C05-185        591.25     591.75     591.50      25.85     -60.06    -466.09      14.39
C05-195        596.00     596.50     596.25      26.22     -58.79    -455.87      14.45
BC05-201       599.03     599.53     599.28      26.45     -59.50    -463.14      12.85
B06-003        601.00     601.50     601.25      26.60     -60.02    -466.23      13.96
C06-005        602.00     602.53     602.27      26.67     -60.48    -469.63      14.21
C06-015        607.17     607.66     607.42      27.07     -59.87    -462.14      16.82
C06-020        609.66     610.18     609.92      27.25     -58.69    -454.86      14.66
C06-025        612.20     612.70     612.45      27.44     -59.92    -465.84      13.52
C06-035        617.30     617.77     617.53      27.82     -59.36    -462.17      12.71
C06-040        619.75     620.23     619.99      28.00     -58.92    -457.69      13.67
C06-045        622.25     622.75     622.50      28.19     -59.69    -464.22      13.30
B06-051        624.70     625.15     624.93      28.37     -59.08    -459.03      13.64
C06-055        626.70     627.20     626.95      28.51     -59.32    -460.20      14.37
C06-060        629.29     629.80     629.54      28.70     -59.40    -460.56      14.64
C06-065        631.83     632.33     632.08      28.88     -58.72    -455.53      14.23
C06-075        636.84     637.35     637.10      29.25     -59.98    -464.39      15.45
C06-081        639.74     640.26     640.00      29.47     -59.73    -463.23      14.61
C06-085        641.78     642.30     642.04      29.62     -58.80    -456.91      13.49
C06-095        646.80     647.30     647.05      29.99     -59.99    -465.96      13.96
BC06-100       649.30     649.80     649.55      30.19     -59.16    -459.99      13.30
C06-105        651.83     652.35     652.09      30.38     -59.93    -466.41      13.03
C06-115        656.70     657.19     656.94      30.75     -58.78    -456.72      13.52
C06-120        659.25     659.70     659.48      30.95     -60.46    -468.69      15.00
C06-125        661.75     662.25     662.00      31.14     -60.38    -469.02      14.02
C06-135        666.82     667.32     667.07      31.52     -59.44    -461.11      14.41
C06-140        669.34     669.87     669.61      31.71     -58.84    -456.93      13.79
C06-145        671.90     672.40     672.15      31.89     -59.52    -463.26      12.90
B06-153        675.90     676.31     676.11      32.18     -58.90    -457.82      13.37
C06-160        678.85     679.35     679.10      32.40     -58.72    -458.17      11.59
C06-165        681.37     681.87     681.62      32.59     -59.14    -459.70      13.42
C06-171        684.40     684.90     684.65      32.81     -59.15    -458.88      14.32
C06-180        688.87     689.40     689.14      33.13     -58.44    -453.47      14.05
C06-185        691.39     691.90     691.65      33.31     -59.41    -460.13      15.15
C06-190        693.90     694.40     694.15      33.50     -59.04    -458.66      13.66
C06-200        698.82     699.33     699.08      33.87     -59.52    -461.16      15.00
C07-010        704.39     704.90     704.65      34.29     -59.44    -461.82      13.70
C07-020        709.35     709.85     709.60      34.65     -58.04    -449.30      15.02
C07-025        711.80     712.30     712.05      34.82     -57.86    -451.63      11.25
C07-030        714.36     714.88     714.62      35.00     -58.72    -457.62      12.14
C07-035        716.94     717.46     717.20      35.18     -58.37    -453.61      13.35
C07-045        722.02     722.54     722.28      35.55     -57.95    -452.11      11.49
C07-050        724.55     725.05     724.80      35.73     -59.26    -460.27      13.81
C07-055        727.02     727.50     727.26      35.91     -59.01    -459.02      13.06
C07-065        732.00     732.50     732.25      36.28     -58.12    -451.19      13.77
C07-070        734.50     735.00     734.75      36.47     -57.58    -447.84      12.80
C07-075        737.00     737.50     737.25      36.65     -58.15    -450.89      14.31
C07-090        744.50     745.00     744.75      37.17     -57.07    -443.38      13.18
C07-095        747.10     747.60     747.35      37.35     -57.66    -450.44      10.84
C07-105        752.10     752.33     752.21      37.70     -59.27    -460.11      14.05
C07-110        754.30     754.80     754.55      37.85     -58.45    -454.58      13.02
C07-115        756.75     757.25     757.00      38.02     -58.38    -452.04      15.00
C07-125        761.75     762.25     762.00      38.37     -57.62    -447.59      13.37
C07-130        764.30     764.80     764.55      38.54     -58.10    -452.28      12.52
C07-135        766.82     767.34     767.08      38.72     -58.84    -455.98      14.74
C07-145        772.00     772.53     772.27      39.12     -58.41    -454.14      13.15
C07-151        774.85     775.35     775.10      39.34     -59.16    -460.47      12.81
C07-155        776.85     777.35     777.10      39.49     -58.85    -458.90      11.90
C07-165        781.91     782.43     782.17      39.88     -58.55    -456.20      12.20
C07-170        784.48     784.99     784.74      40.08     -58.82    -459.76      10.80
C07-175        787.03     787.53     787.28      40.28     -58.42    -453.64      13.72
C07-185        792.02     792.52     792.27      40.66     -58.61    -454.76      14.12
C07-190        794.48     794.98     794.73      40.84     -59.11    -460.46      12.42
C07-195        796.98     797.50     797.24      41.03     -58.87    -455.81      15.15
C08-010        804.55     805.06     804.81      41.61     -58.27    -452.65      13.51
C08-015        807.06     807.55     807.31      41.80     -58.38    -455.10      11.94
C08-025        812.00     812.50     812.25      42.18     -58.84    -457.67      13.05
C08-030        814.50     815.00     814.75      42.36     -58.06    -452.06      12.42
C08-035        817.00     817.51     817.25      42.55     -58.44    -454.78      12.74
C08-045        822.04     822.55     822.30      42.94     -58.91    -459.35      11.93
C08-051        825.05     825.55     825.30      43.18     -58.04    -451.66      12.66
C08-055        827.05     827.55     827.30      43.34     -58.65    -454.21      15.00
C08-065        832.05     832.55     832.30      43.74     -59.05    -457.71      14.69
C08-070        834.55     835.05     834.80      43.94     -58.98    -460.10      11.74
C08-075        837.01     837.52     837.26      44.13     -58.54    -454.58      13.74
C08-085        842.06     842.56     842.31      44.51     -58.01    -449.84      14.24
C08-090        844.56     845.06     844.81      44.69     -57.45    -448.72      10.88
C08-095        847.06     847.56     847.31      44.87     -58.23    -454.14      11.70
C08-100        849.56     850.06     849.81      45.05     -57.94    -450.83      12.69
C08-105        852.06     852.56     852.31      45.23     -58.25    -452.59      13.41
C08-110        854.56     855.06     854.81      45.40     -57.25    -446.86      11.14
C08-115        857.10     857.60     857.35      45.57     -55.88    -435.96      11.08
C08-125        862.00     862.50     862.25      45.91     -58.61    -455.54      13.34
C08-130        864.50     864.97     864.74      46.10     -58.70    -457.03      12.57
C08-135        867.00     867.50     867.25      46.29     -57.44    -448.14      11.38
C08-145        872.00     872.50     872.25      46.66     -57.93    -449.13      14.31
C08-150        874.50     875.00     874.75      46.85     -58.85    -457.75      13.05
C08-155        877.00     877.50     877.25      47.04     -57.48    -447.06      12.78
C08-165        882.00     882.50     882.25      47.45     -59.04    -461.00      11.32
C08-170        884.47     884.98     884.72      47.65     -58.62    -456.99      11.97
C08-175        887.00     887.50     887.25      47.85     -57.79    -449.93      12.39
C08-185        892.00     892.50     892.25      48.25     -58.43    -453.42      14.03
C08-190        894.49     895.00     894.74      48.45     -57.70    -450.01      11.59
C08-195        897.00     897.50     897.25      48.65     -58.52    -454.07      14.09
BC09-005       902.09     902.54     902.31      49.07     -58.42    -455.93      11.46
C09-010        904.60     905.10     904.85      49.28     -58.43    -453.78      13.66
C09-015        907.10     907.60     907.35      49.48     -58.31    -452.84      13.64
C09-025        912.10     912.60     912.35      49.88     -58.25    -452.47      13.53
C09-030        914.60     915.10     914.85      50.08     -58.14    -452.62      12.50
C09-035        917.10     917.60     917.35      50.28     -57.92    -450.46      12.90
C09-045        922.10     922.60     922.35      50.67     -57.03    -445.97      10.27
C09-050        924.60     925.10     924.85      50.86     -58.70    -457.04      12.56
C09-055        927.10     927.60     927.35      51.06     -58.23    -451.10      14.74
C09-065        932.13     932.63     932.38      51.45     -57.54    -446.01      14.31
C09-070        934.60     935.10     934.85      51.63     -57.34    -445.07      13.65
C09-075        937.10     937.55     937.32      51.82     -57.39    -447.29      11.83
C09-085        942.05     942.55     942.30      52.18     -57.55    -444.53      15.87
C09-090        944.55     945.05     944.80      52.37     -56.63    -438.33      14.71
C09-095        947.09     947.60     947.35      52.56     -57.72    -449.63      12.14
C09-105        952.15     952.65     952.40      52.95     -57.38    -446.05      12.99
C09-110        954.65     955.15     954.90      53.16     -57.98    -451.67      12.17
C09-115        957.15     957.65     957.40      53.36     -56.95    -444.93      10.67
C09-125        962.15     962.65     962.40      53.77     -58.15    -452.25      12.95
C09-130        964.65     965.17     964.91      53.97     -58.38    -454.09      12.95
C09-135        967.15     967.67     967.41      54.16     -57.39    -445.22      13.90
C09-145        972.20     972.70     972.45      54.57     -58.55    -455.62      12.78
C09-150        974.70     975.20     974.95      54.78     -57.78    -450.31      11.93
C09-155        977.20     977.70     977.45      54.99     -58.61    -455.49      13.39
C09-165        982.24     982.75     982.50      55.43     -58.51    -453.83      14.25
C09-170        984.75     985.25     985.00      55.64     -57.60    -449.56      11.24
C09-175        987.25     987.75     987.50      55.84     -57.31    -445.93      12.55
C09-185        992.30     992.80     992.55      56.25     -57.65    -448.58      12.62
